Bandit,Reward,Algorithm
2,3.5414338173141884,Thompson
2,2.5032782501324755,Thompson
2,5.246686302986428,Thompson
2,3.787596354495063,Thompson
2,1.8949124498147347,Thompson
2,3.9064172322534563,Thompson
2,3.0968638582865764,Thompson
2,4.128100856657189,Thompson
2,5.29436256529582,Thompson
2,3.659999380276758,Thompson
2,1.9574213870527977,Thompson
2,4.149673549397652,Thompson
2,3.6674247996211946,Thompson
2,0.8587254636259907,Thompson
2,4.043840832427931,Thompson
2,5.433155654563787,Thompson
2,3.1113077491177052,Thompson
2,1.4228700877951443,Thompson
2,3.731247353068553,Thompson
2,5.078619491003625,Thompson
2,2.987862395171561,Thompson
2,2.1279202156722783,Thompson
2,3.9923655102632862,Thompson
2,2.9950050711452536,Thompson
2,2.8933572687940607,Thompson
2,2.226343009155248,Thompson
2,2.7659513323857987,Thompson
2,1.9063168962851267,Thompson
2,2.5923262335586736,Thompson
2,2.9990583938715036,Thompson
2,3.505212672080977,Thompson
2,5.056493421792576,Thompson
2,1.5794613067434804,Thompson
2,2.7530481572527243,Thompson
2,3.3598162295635516,Thompson
2,2.653547245363967,Thompson
2,2.2083726980799447,Thompson
2,2.226858617130615,Thompson
2,3.356801105492025,Thompson
2,3.3474403813627616,Thompson
2,2.521723241601231,Thompson
2,3.5216906630602414,Thompson
2,3.9795457848650972,Thompson
2,2.5242281409030056,Thompson
2,3.8949194175278676,Thompson
2,1.8131822324333993,Thompson
2,2.73741264380471,Thompson
2,3.3452118020167387,Thompson
2,2.730356320135822,Thompson
2,3.385446984550495,Thompson
2,1.4397931672450495,Thompson
2,2.3952675056160397,Thompson
2,2.7192706744618547,Thompson
2,3.807472563727643,Thompson
2,3.20017300976618,Thompson
2,1.8215050770172747,Thompson
2,2.568410354501547,Thompson
2,2.6180090113518917,Thompson
2,3.8024951686812662,Thompson
2,2.1045471147787245,Thompson
2,1.7438844194142946,Thompson
2,3.330222140047021,Thompson
2,2.388429345630665,Thompson
2,2.224180162177904,Thompson
2,2.0220871592066265,Thompson
2,3.9089613699154775,Thompson
2,3.1799228840790867,Thompson
2,2.1220752959742457,Thompson
2,4.495752639928127,Thompson
2,3.789248146625056,Thompson
2,2.236862625035016,Thompson
2,2.579724894908903,Thompson
2,3.251099442612778,Thompson
2,3.9888399621651955,Thompson
2,1.723586225405213,Thompson
2,2.738980968254364,Thompson
2,2.2309268854502693,Thompson
2,2.955556936927356,Thompson
2,2.8540812810330145,Thompson
2,2.746644873454797,Thompson
2,2.6462087897619186,Thompson
2,2.033731524647871,Thompson
2,3.4946941144329804,Thompson
2,3.61951099969577,Thompson
2,3.1833539976050504,Thompson
2,2.6573590187445815,Thompson
2,3.196602294572748,Thompson
2,1.445617760215531,Thompson
2,3.8825590903154126,Thompson
2,2.797125144400011,Thompson
2,3.509053007497555,Thompson
2,0.04483545352634932,Thompson
2,3.4350591433523037,Thompson
2,2.7060708671663374,Thompson
2,5.873137387892246,Thompson
2,3.8494569319599217,Thompson
2,4.222215765899826,Thompson
2,4.021063917498227,Thompson
2,2.869180306992886,Thompson
2,4.148917975986281,Thompson
2,4.070152903928869,Thompson
2,3.8752044936253762,Thompson
2,3.075196976978083,Thompson
2,2.0796139868235524,Thompson
2,4.649233087920695,Thompson
2,4.450341689798382,Thompson
2,1.68554631521453,Thompson
2,3.4621388361003995,Thompson
2,2.852533673584304,Thompson
2,1.7824151334511353,Thompson
2,4.261793919476214,Thompson
2,1.433348441908626,Thompson
2,3.7873509744691094,Thompson
2,2.665789012094239,Thompson
2,3.4654510110073726,Thompson
2,3.9305318809991077,Thompson
2,1.2410747486953408,Thompson
2,3.8862340130186785,Thompson
2,3.56128466776498,Thompson
2,3.2347877762082904,Thompson
2,2.824588234887242,Thompson
2,3.219345167708672,Thompson
2,4.636289853012473,Thompson
2,2.846094324719065,Thompson
2,2.7489013196424272,Thompson
2,2.9030568989800356,Thompson
2,3.4714059134895385,Thompson
2,4.0712494773129375,Thompson
2,3.138419491822858,Thompson
2,4.200592379929464,Thompson
2,3.6597191937228386,Thompson
2,2.7132745685476696,Thompson
2,3.36474199409133,Thompson
2,2.804248738829501,Thompson
2,1.8627804693327223,Thompson
2,3.5909317681954493,Thompson
2,3.9601190082574718,Thompson
2,1.7600531667025385,Thompson
2,3.314239929917465,Thompson
2,2.8770560624324424,Thompson
2,3.3555283245557956,Thompson
2,2.9093670213323954,Thompson
2,4.357138883856511,Thompson
2,3.5572834794810446,Thompson
2,4.238243778361411,Thompson
2,2.8101658730207895,Thompson
2,2.09467991216599,Thompson
2,1.7012395677412675,Thompson
2,2.4377758713200266,Thompson
2,2.6925011596088337,Thompson
2,0.8100646974656733,Thompson
2,2.7388410594773824,Thompson
2,2.788600839273452,Thompson
2,2.6039055007233216,Thompson
2,6.513543292649705,Thompson
2,2.677405430844841,Thompson
2,3.774801990706479,Thompson
2,3.178242750730512,Thompson
2,2.736056283562955,Thompson
2,2.7816431222688425,Thompson
2,2.9462631145984592,Thompson
2,3.8218525220505364,Thompson
2,3.152755499599724,Thompson
2,3.6135875947380205,Thompson
2,2.3480107096190066,Thompson
2,3.2180466002306156,Thompson
2,1.3146362195013954,Thompson
2,3.5645189760864175,Thompson
2,4.632323469117088,Thompson
2,1.5158919309631809,Thompson
2,2.2181265026482158,Thompson
2,3.6454189697827863,Thompson
2,3.517324658117472,Thompson
2,2.616273978553184,Thompson
2,2.934559781832263,Thompson
2,2.434175825265916,Thompson
2,-0.3981605851150647,Thompson
2,4.435387922120454,Thompson
2,1.8354534756118648,Thompson
