Bandit,Reward,Algorithm
2,1.6479358351950077,E_Greedy
2,3.2905943028967415,E_Greedy
3,3.500880986086137,E_Greedy
3,4.8838256264019755,E_Greedy
3,3.541617928922456,E_Greedy
3,3.0722674092198003,E_Greedy
3,5.34807988280725,E_Greedy
3,4.1573679140187565,E_Greedy
3,4.095261720881753,E_Greedy
3,4.455905261147992,E_Greedy
3,3.6695844863234397,E_Greedy
3,1.86074610406233,E_Greedy
3,4.42947877607706,E_Greedy
3,2.966533936362543,E_Greedy
3,3.7183929017817605,E_Greedy
3,3.560255306487565,E_Greedy
3,4.687903402825187,E_Greedy
3,5.049686516485041,E_Greedy
3,4.368550922157814,E_Greedy
3,5.869949512609816,E_Greedy
3,5.597862010172989,E_Greedy
3,4.59746586081178,E_Greedy
3,5.011578849137105,E_Greedy
3,3.0631503557050164,E_Greedy
3,5.097423821039019,E_Greedy
3,2.544383490384155,E_Greedy
3,3.1099582328041118,E_Greedy
3,2.9414789390851004,E_Greedy
3,4.398306702201,E_Greedy
3,3.210301734300885,E_Greedy
3,3.038601979271784,E_Greedy
3,3.0906998483034758,E_Greedy
3,3.986707162681707,E_Greedy
3,5.703134586690139,E_Greedy
3,4.300231864590558,E_Greedy
3,2.09696860218678,E_Greedy
3,3.573368813600393,E_Greedy
3,3.444733116915819,E_Greedy
3,6.181598467052105,E_Greedy
3,4.197719315956851,E_Greedy
3,4.055003214036519,E_Greedy
3,5.217449326719651,E_Greedy
3,3.829921554111089,E_Greedy
3,2.752477804216648,E_Greedy
3,3.6164461599171145,E_Greedy
3,3.7156591946974116,E_Greedy
3,2.7157751268679613,E_Greedy
3,3.503434760625976,E_Greedy
3,4.684500742591061,E_Greedy
3,2.9096790427570554,E_Greedy
0,1.7216553565952903,E_Greedy
3,3.36765766464616,E_Greedy
3,5.349668475736214,E_Greedy
3,5.311968964249019,E_Greedy
3,4.5339936476347145,E_Greedy
3,3.6554858889422244,E_Greedy
3,2.916119221093786,E_Greedy
3,3.48442767808933,E_Greedy
3,3.023883401196558,E_Greedy
3,3.619837751742443,E_Greedy
3,3.221588293246578,E_Greedy
3,3.2137515515681416,E_Greedy
3,4.866287322067506,E_Greedy
3,3.8892854243660713,E_Greedy
3,3.2659343139163086,E_Greedy
3,5.776721030559184,E_Greedy
3,1.2761904131414297,E_Greedy
3,4.501183408736404,E_Greedy
3,3.24978765946824,E_Greedy
3,2.598496864175396,E_Greedy
3,4.251214334820188,E_Greedy
3,4.036402307701643,E_Greedy
3,4.621437463895056,E_Greedy
1,1.6699980829820322,E_Greedy
3,2.6432683693843355,E_Greedy
3,4.88376970785919,E_Greedy
3,3.486798106028368,E_Greedy
3,3.354128805505013,E_Greedy
3,4.131362766709188,E_Greedy
3,4.524906862218263,E_Greedy
3,2.8457989829312953,E_Greedy
3,3.84165653583211,E_Greedy
3,3.3865873999488567,E_Greedy
3,4.035907521702701,E_Greedy
3,4.66692205829726,E_Greedy
3,4.613861965087238,E_Greedy
3,2.678646207583072,E_Greedy
3,2.1587984527607906,E_Greedy
3,2.826401930404618,E_Greedy
3,3.316362710014833,E_Greedy
3,1.9626204390804225,E_Greedy
3,3.2726507640896774,E_Greedy
3,4.341893447745614,E_Greedy
3,5.109143292123404,E_Greedy
3,4.042484010822132,E_Greedy
3,3.802868688631515,E_Greedy
3,4.3978604667395915,E_Greedy
3,3.755721302406131,E_Greedy
3,4.910508337221864,E_Greedy
3,3.012733741037085,E_Greedy
3,6.948964613575233,E_Greedy
3,3.2923196381523265,E_Greedy
3,4.03984229544242,E_Greedy
3,3.6511222601080866,E_Greedy
3,5.314983503839368,E_Greedy
3,3.0142107682326973,E_Greedy
3,4.138678420091594,E_Greedy
3,3.6562720715803207,E_Greedy
3,3.046937416256345,E_Greedy
3,4.371191330019188,E_Greedy
3,4.389509762989319,E_Greedy
3,4.872146649929268,E_Greedy
3,3.9460393162750655,E_Greedy
3,3.6775208975911893,E_Greedy
3,5.09313536304135,E_Greedy
3,5.178854313714425,E_Greedy
3,3.248735400363064,E_Greedy
3,3.950593988411695,E_Greedy
3,3.4181796768064068,E_Greedy
3,3.202092518603112,E_Greedy
3,3.755839547274782,E_Greedy
3,3.468779444511504,E_Greedy
3,4.595968450409552,E_Greedy
3,4.943927159229178,E_Greedy
3,5.105863331556735,E_Greedy
3,2.7780252372606604,E_Greedy
3,4.579850152414963,E_Greedy
3,4.039091401492968,E_Greedy
3,4.924732702800354,E_Greedy
3,4.846781606630059,E_Greedy
3,4.200689146229725,E_Greedy
3,1.4634815964082986,E_Greedy
3,2.809109887887775,E_Greedy
3,4.192506347022031,E_Greedy
3,4.6240237720604895,E_Greedy
3,4.529718012614184,E_Greedy
3,4.587980102967554,E_Greedy
3,5.708253283520814,E_Greedy
3,4.03077502768562,E_Greedy
3,3.5078685592070884,E_Greedy
3,4.334546393703247,E_Greedy
3,5.6338204983014215,E_Greedy
3,3.214429144322115,E_Greedy
3,4.152556422509373,E_Greedy
3,4.923804056275266,E_Greedy
3,4.767169740011132,E_Greedy
3,3.2813241384036407,E_Greedy
3,3.793939170871292,E_Greedy
3,4.977644985815699,E_Greedy
3,3.2402174565996043,E_Greedy
3,5.222118658713798,E_Greedy
3,3.2760318680744156,E_Greedy
3,5.810846371389186,E_Greedy
3,3.8077347556409147,E_Greedy
3,4.094205247189744,E_Greedy
3,5.023400799184407,E_Greedy
3,5.079881876941167,E_Greedy
3,3.2940281028768377,E_Greedy
3,4.893900051043213,E_Greedy
3,3.4249030134293603,E_Greedy
3,4.3474671785011445,E_Greedy
3,4.849997711581436,E_Greedy
3,4.389025862068643,E_Greedy
3,3.265868524241194,E_Greedy
3,4.936355876279985,E_Greedy
3,5.581463554799793,E_Greedy
3,3.0819660617568423,E_Greedy
3,4.39458897178914,E_Greedy
3,3.9501064775575188,E_Greedy
3,2.9161371568500996,E_Greedy
3,4.328007922378937,E_Greedy
3,4.57045454221708,E_Greedy
3,5.382994468827581,E_Greedy
3,3.117052044212106,E_Greedy
3,5.461112223017729,E_Greedy
3,3.1622969947443917,E_Greedy
3,2.5812185581060687,E_Greedy
3,3.3207231103259,E_Greedy
3,5.601977006778417,E_Greedy
3,1.8025427004607066,E_Greedy
3,4.173084204065533,E_Greedy
3,5.430603174520751,E_Greedy
3,5.041788585927475,E_Greedy
0,-0.11046549395920935,E_Greedy
3,4.244966819719841,E_Greedy
3,2.7179123998328363,E_Greedy
3,3.5625683264362236,E_Greedy
3,4.020864039843742,E_Greedy
3,2.964133272926645,E_Greedy
3,3.6975076444588884,E_Greedy
3,5.557350228118898,E_Greedy
3,1.6006831622900841,E_Greedy
3,5.717900884755745,E_Greedy
3,3.1614434966728786,E_Greedy
3,3.4752516913815272,E_Greedy
3,3.789828324690546,E_Greedy
3,4.846357348762946,E_Greedy
3,3.195770065215574,E_Greedy
3,4.009155672063486,E_Greedy
3,5.338791836623722,E_Greedy
3,3.071646393476387,E_Greedy
3,5.593071442795108,E_Greedy
3,4.549649679697712,E_Greedy
3,4.896887052831962,E_Greedy
3,3.2396108999631927,E_Greedy
3,4.057293761942432,E_Greedy
